latitude,longitude,cluster,size
30.273071544122807,-97.747977585,36,30
30.264554983863636,-97.74921580727273,82,25
30.269052089259258,-97.75346189,94,21
39.29307363401176,-76.67615833221177,25,2832
39.28696775773793,-76.5925792404138,41,2726
39.34432587080815,-76.63190890319316,75,2257
39.305722602821426,-76.541072395,1,2174
39.29857958623668,-76.64236232406057,78,2102
39.35703146409409,-76.69158895603604,72,2032
39.32393335724524,-76.57997967047032,30,2011
39.328648676026845,-76.68092903444295,63,1960
39.25368652716536,-76.62048553856955,14,1935
39.3649107037889,-76.5729571908119,34,1898
39.279691261589086,-76.5724846917389,10,1875
39.30824750917293,-76.64918792667122,96,1796
39.30731057490725,-76.62531822652613,6,1786
39.35823076997801,-76.61779785044722,93,1786
39.2850299336627,-76.6275132468598,92,1785
39.36745473598214,-76.54336240232143,4,1784
39.333905618078575,-76.61365760344383,38,1781
39.22740659784514,-76.59430772667467,12,1779
39.27739664294586,-76.53645888320064,83,1757
39.31032604976088,-76.59788409547517,36,1756
39.353301196241134,-76.63319154151773,32,1737
39.28625863045977,-76.55480535189655,39,1736
39.359944066510316,-76.66676904741088,17,1666
39.29494288580402,-76.70044113,16,1630
39.337153352518655,-76.70523412652985,19,1627
39.28771583388318,-76.58170954478938,60,1577
39.34184405221629,-76.55557769256342,50,1567
39.3212835841728,-76.63761565099264,90,1552
39.27941806579668,-76.64049426262437,97,1532
39.35491022633372,-76.64174197911868,2,1524
39.27859880406265,-76.61424847310293,84,1513
39.204206706363635,-76.55951948127273,81,1491
39.31066503157167,-76.66807414339667,42,1484
39.353228536588844,-76.5937772518288,73,1483
39.3248714468421,-76.6123122307579,85,1481
39.31619590309981,-76.55713664641075,11,1463
39.32439528711276,-76.65495484031321,43,1434
39.2667737053625,-76.6541787269875,76,1428
39.29480200397191,-76.62947495294944,20,1410
39.30226163096552,-76.61453736831609,57,1404
39.33404792055069,-76.53699963979975,28,1392
39.29552126903344,-76.57332406195516,13,1365
39.32475927014151,-76.69889370854447,44,1346
39.329913557590785,-76.6001131297486,99,1325
39.28673877099554,-76.64838333001485,70,1265
39.36477604217437,-76.58869186268907,46,1255
39.366991963346614,-76.60998599163347,54,1209
39.344485066574485,-76.67514728572704,61,1153
39.36373351,-76.55537735698795,79,1126
39.36655698912644,-76.62825940837931,47,1121
39.31310915099553,-76.63471451421825,27,1089
39.290029263951844,-76.54113965835694,22,1066
39.31544539642857,-76.68287725631774,64,1061
39.270032401298245,-76.59289410693567,35,1044
39.35230616478081,-76.65572108643507,67,1034
39.29752755035176,-76.66073394775125,88,1013
39.351185628609464,-76.58182683004438,5,999
39.28926156086586,-76.6042052915472,62,998
39.282733779456194,-76.66159755636455,58,994
39.3531950245946,-76.53981381075205,80,988
39.30559122333333,-76.57980647495238,77,975
39.30688916384215,-76.70035850999133,45,952
39.28070585290581,-76.68949571495992,68,941
39.271445913168364,-76.60795962790306,87,901
39.236766492525916,-76.60411237145146,21,870
39.25692342768675,-76.64559089901205,49,869
39.36254917761658,-76.70305742147669,53,855
39.3446851994407,-76.61221309757956,59,851
39.27643720348469,-76.62891367737065,29,851
39.26839260459627,-76.67724325751553,0,850
