Date,Value,Anomaly
201908,69.7,1.7
201909,67,4.1
201910,56.9,6
201911,37.5,-3.4
201912,41.4,6
202001,39.2,5
202002,40.7,4.3
202003,53.2,10.3
202004,49.4,-0.7
202005,57,-1.3
202006,66.7,0.9
202007,71,2.2
202008,70.4,2.4
202009,65,2.1
202010,55.8,4.9
202011,46.4,5.5
202012,33.8,-1.6
202101,36.7,2.5
202102,35.8,-0.6
202103,47.7,4.8
202104,48.7,-1.4
202105,57.7,-0.6
202106,67.2,1.4
202107,70.1,1.3
202108,70.6,2.6
202109,64.2,1.3
202110,56.9,6
202111,38.8,-2.1
202112,45.7,10.3
202201,32,-2.2
202202,37.3,0.9
202203,43.8,0.9
202204,49.6,-0.5
202205,62.2,3.9
202206,68.8,3
202207,71.8,3
202208,70.2,2.2
202209,62.2,-0.7
202210,46.9,-4
202211,43.9,3
202212,39.5,4.1
