tree_type,latitude,longitude,size
Green ash,38.94610193,-104.86524606666667,13
Green ash,38.84849461846154,-104.8613030923077,3
Norway maple,38.85517482791139,-104.82624050316454,158
Norway maple,38.82731438285714,-104.75878255714285,92
Norway maple,38.91093700095238,-104.7801018142857,80
Norway maple,38.836799978624995,-104.7990343225,55
Norway maple,38.90799910882353,-104.86576559411765,28
Norway maple,38.77520348272728,-104.82511712727273,21
Norway maple,38.91764125466667,-104.72390517333334,17
Norway maple,38.79574606509091,-104.74458248,15
Norway maple,38.85725386423913,-104.81445334021738,11
Norway maple,38.95157437090909,-104.77010338181817,11
Honeylocust,38.7985807309816,-104.74681891779142,163
Honeylocust,38.88831303434783,-104.80286887391306,115
Honeylocust,38.88642214684211,-104.7023416,79
Honeylocust,38.83570512670886,-104.79275445949366,38
Honeylocust,38.85469960130435,-104.82061292434783,33
Honeylocust,38.94698012307692,-104.76463329615385,32
Honeylocust,38.860602382121215,-104.7293557,28
Honeylocust,38.926974702857144,-104.86948661428572,26
Honeylocust,38.846996395,-104.8557480375,23
Honeylocust,38.90880388875,-104.75265214375,16
Red maple,38.85357749,-104.8239563,8
Red maple,38.78990326833333,-104.73626128333335,6
Red maple,38.79556479,-104.75370625,6
Red maple,38.80527324,-104.7441932,6
Red maple,38.85850561,-104.821700175,2
Red maple,38.85184995,-104.8145666,1
Red maple,38.856763915,-104.82784688333334,1
Red maple,38.853877338333334,-104.8196402,1
Red maple,38.79556623,-104.7377151,1
Red maple,38.79170601,-104.7426258,1
Callery pear,38.860161105,-104.81862054999999,5
Callery pear,38.79399031,-104.7476592,4
Callery pear,38.86932818,-104.7579403,3
Callery pear,38.855563444,-104.82648662,2
Callery pear,38.80537485,-104.7384205,2
Callery pear,38.857387609999996,-104.8155574,2
Callery pear,38.79415462,-104.7368147,1
Callery pear,38.797929885,-104.75212805,1
Callery pear,38.85648682,-104.82126925,1
Callery pear,38.853101965,-104.81585425,1
Pin oak,38.837312499999996,-104.82217645,5
Pin oak,38.817589475000005,-104.73954855,4
Pin oak,38.8555301075,-104.8232645,3
Pin oak,38.86838831,-104.7576828,2
Pin oak,38.80135184,-104.7385716,2
Pin oak,38.86627111,-104.8133453,1
Pin oak,38.84488426,-104.8272825,1
Pin oak,38.853535916,-104.82587478,1
Pin oak,38.85881166,-104.8138162,1
Pin oak,38.856408286666664,-104.82750806666667,1
Littleleaf linden,39.928180878289965,-83.08436833267659,699
Littleleaf linden,40.09383553191702,-82.97370367430615,650
Littleleaf linden,39.94966553334247,-82.92567418852055,609
Littleleaf linden,40.1220224084,-83.057664427,365
Littleleaf linden,39.96002136842365,-82.99708193090312,287
Littleleaf linden,39.93333253511811,-82.81806712216536,269
Littleleaf linden,40.09096185625,-82.85145961085938,266
Littleleaf linden,40.06121937390977,-83.08031530962407,254
Littleleaf linden,40.02579095219512,-83.00874551184668,128
Littleleaf linden,39.962900216421055,-83.15524441431579,95
Green ash,40.09793244321113,-83.07493726126422,1582
Green ash,39.98354617157128,-82.99072542185225,969
Green ash,39.999141305199004,-82.78414334121891,961
Green ash,39.98348420855263,-83.13761050122369,760
Green ash,40.09586292461301,-82.98411190646027,636
Green ash,40.08037447056555,-82.84351237938303,618
Green ash,39.89543190182254,-82.95557909424461,572
Green ash,39.926140310738994,-83.07299335737422,417
Green ash,39.92718944228156,-82.85376985389968,402
Green ash,40.03965964655595,-82.92955121234266,389
Red maple,40.033394462309026,-83.0127092657986,1521
Red maple,40.094447431442475,-82.84581462826549,1130
Red maple,39.91437817197339,-82.84079914332594,1100
Red maple,39.95412178350909,-82.98170774490909,688
Red maple,40.077093390802794,-82.95426815371728,590
Red maple,39.95843682755814,-83.12832176325581,576
Red maple,40.10946509157133,-83.06142105631164,573
Red maple,40.136762174508476,-83.0052227820339,451
Red maple,40.05388680045455,-83.15103032467171,396
Red maple,40.001734127707316,-82.78866797312195,205
Norway maple,39.97607969541922,-82.94003678376278,660
Norway maple,40.02413715983333,-83.00834994737879,591
Norway maple,39.94919304454811,-83.07602017842567,524
Norway maple,40.10725889895161,-83.06901556086693,496
Norway maple,39.948890231183206,-82.99292821980916,489
Norway maple,40.095992462582785,-82.85223452264901,343
Norway maple,40.08525992563452,-82.96881735453469,251
Norway maple,40.00643600156717,-82.79323626313433,207
Norway maple,40.037163293904385,-83.14479695673306,151
Norway maple,39.92571467086957,-82.86488464391304,134
London planetree,39.96163980122266,-83.00516227951292,1006
London planetree,40.086878815615385,-82.9675024728846,479
London planetree,40.092555414175436,-83.05697366154386,318
London planetree,39.95807500062893,-82.94460460242138,285
London planetree,39.961643844252876,-83.11718498241379,260
London planetree,40.09917956519833,-82.84597320835073,187
London planetree,40.145968001604274,-82.98739768320856,183
London planetree,40.029051206010934,-83.01077186098361,174
London planetree,40.049789729375,-83.17714045107142,120
London planetree,39.93457630825,-82.85917626383333,112
Callery pear,40.002368247405734,-83.0087556841629,1219
